survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,alone
0,3,male,,8,6,10.826184831061765,S,Second,child,False
1,3,male,27.102357351068704,6,6,21.460495551361376,S,Third,child,True
0,1,male,22.1136689703052,7,4,9.746753029200816,S,First,man,False
1,3,male,39.481442829829184,8,4,13.68759059787709,C,Third,man,False
0,1,male,29.553244941122028,2,1,19.156194679210333,S,Second,child,True
1,3,female,,3,1,61.20525814587249,S,Second,child,False
0,2,male,42.57536871365062,4,4,87.9971828017666,S,First,woman,False
1,2,male,27.23097567658178,4,5,58.424409201437584,C,First,man,True
0,3,male,,4,0,24.61518328460054,S,Second,woman,False
0,3,female,42.72863893463352,4,1,41.02753592370566,S,First,man,False
0,1,male,31.130078466074135,1,1,13.47330552483284,S,First,woman,True
0,3,female,,2,4,20.285102102973063,S,Third,child,False
0,3,male,14.419317471797374,5,6,93.11296957496671,S,First,child,False
0,1,male,31.335766261576136,6,2,14.467976791515683,C,Third,woman,False
0,3,male,62.72373526069586,6,5,6.267797751386094,S,Third,child,False
0,3,male,,2,0,21.081625931388352,S,First,woman,True
1,3,male,,5,1,34.88939189796035,C,Second,woman,True
0,1,male,,0,5,4.463694656877491,S,First,man,False
0,3,female,29.198063202932783,1,6,4.297398700173891,C,Third,child,False
0,2,female,9.721463914528165,1,6,11.944922207424854,S,First,man,False
0,2,male,,1,1,78.61127478575598,C,Third,child,False
0,3,female,47.17329563302472,8,2,37.049493324050815,C,First,man,True
1,3,male,39.32896359150264,3,1,8.281156173927473,S,First,woman,True
0,3,male,,3,3,30.526579559545223,S,Third,man,False
1,3,male,29.191408182698023,2,6,35.62400502683471,S,Second,woman,True
0,3,male,19.826031636240835,3,5,24.431663110639782,S,Second,woman,True
1,3,male,26.95971637986166,3,6,47.01003711528977,S,First,woman,False
0,3,male,31.904437043241273,0,4,0.8266546157518917,S,Third,man,True
0,3,male,18.263643820218185,8,1,6.9993421125002575,S,First,woman,True
0,3,male,37.86029873371577,4,5,111.94882464731107,S,Third,child,False
0,1,male,12.365653636803899,8,6,22.72503316313904,S,Third,man,True
1,3,female,,0,3,2.6268166227525653,S,First,child,False
0,1,male,27.14388978532896,3,1,12.15815782596046,S,First,man,True
1,2,male,20.32572261554484,0,4,0.05854063736887697,S,First,woman,False
0,1,male,1.0,8,3,28.58152694646509,S,Third,man,True
1,3,female,36.270175297557536,3,3,249.4246326937843,S,Third,woman,False
1,3,male,19.419489353836262,0,6,29.430747245303056,S,Second,man,True
0,1,male,48.5599114305412,8,4,31.079253292054158,S,First,child,False
0,3,female,,1,6,13.103976431464599,S,Second,woman,True
0,3,male,22.42096576196291,6,6,8.927816812030127,S,Third,woman,True
0,1,female,,0,2,23.41663001671966,S,Third,woman,True
0,3,female,44.748156480826275,6,2,75.91481850948949,S,Third,woman,False
1,3,male,22.112292716345625,5,4,0.3233655963959923,S,First,child,True
0,1,female,44.20632772761687,2,1,27.82422736491895,S,Third,woman,True
1,3,female,50.16425097424671,3,0,18.463835551802415,S,Third,child,True
1,3,male,43.86451934918324,5,1,32.03284552824543,S,First,woman,False
0,1,male,,3,3,60.46653234443343,S,Third,child,True
1,3,female,48.097044294174566,7,0,19.67130558499237,S,First,man,False
0,3,female,51.20835211450208,6,3,8.101334029443121,S,First,woman,True
1,1,male,,0,3,15.595077943285059,S,First,man,False
0,1,female,32.91297341481949,4,6,5.384537812738628,S,First,woman,False
1,3,female,23.990865405989226,8,6,2.9277953551786817,C,First,child,True
1,3,female,1.0,4,4,15.556423483776891,S,First,woman,False
1,1,male,,2,5,32.4288950417288,C,Third,man,True
0,2,male,23.72404081177686,2,2,10.063151576690473,S,Third,child,True
1,3,male,24.655708778632075,8,2,81.61512232414438,S,First,child,False
1,1,female,,3,2,38.53759092690081,S,First,man,True
0,2,female,15.989353136517497,4,2,38.2589146484105,S,Third,man,False
0,3,male,7.659113439821603,3,0,38.831647909689664,C,Second,child,True
0,2,female,28.176875669465833,4,2,0.05563531349880156,S,First,child,False
0,3,female,27.348148996634933,2,4,55.33053165100658,S,Second,man,False
1,3,male,18.694243418301877,8,1,82.37706033479049,S,First,woman,True
0,1,male,,1,3,0.6464235892564786,nan,Second,man,True
0,3,male,,0,1,30.09714765003654,S,First,man,True
0,3,male,24.44866765377155,3,0,37.25008360733541,S,Third,woman,True
0,3,male,18.01176042206648,8,4,7.2091065066162825,C,Third,woman,True
0,3,male,47.63825464123822,3,3,60.108308284421184,C,Third,child,True
0,3,male,33.3739542486317,4,0,32.44061103354153,Q,Second,woman,True
0,3,female,16.38754914762876,8,5,8.413789378978166,Q,Third,man,False
0,1,male,26.073731059455643,4,4,112.761841149965,S,Third,child,False
1,3,male,,1,3,8.024770915229304,S,Third,man,False
1,1,male,44.17035613244703,5,6,37.45601933833625,S,Third,woman,True
0,3,male,49.37861414413148,4,2,21.194069895979844,C,Third,man,False
1,1,male,47.528027758542436,5,6,42.39729588871262,S,First,woman,True
0,3,male,13.974303162603633,8,3,3.394833681321444,S,First,child,True
0,3,female,28.722261723833537,7,0,100.58329941544781,C,Third,man,False
1,3,male,,0,0,7.549431194112286,C,First,woman,True
1,2,male,37.86818348279854,6,5,8.215472439043996,S,Third,woman,True
1,2,female,15.889262754025427,1,3,26.647510227796616,S,Third,child,False
0,2,female,,1,4,14.202296997927347,S,Second,man,True
1,1,male,24.214961603074688,4,4,19.259748920738826,C,First,woman,False
1,3,male,32.146038567853935,5,2,1.2475370600664721,C,First,child,True
1,1,male,39.71780191393041,1,6,8.835037349737041,S,Second,man,False
0,2,male,25.39781230168749,5,0,49.01016633248485,Q,Second,man,True
1,3,female,39.29551105736711,5,2,76.7245268817347,S,Third,woman,True
0,3,male,41.50906899515993,3,2,8.774408030897481,S,Third,child,True
0,1,female,27.014986683794504,7,4,48.983348312504994,S,Third,man,True
0,2,male,12.560786139881642,1,5,0.9693391358103446,C,Third,man,True
1,3,male,13.603335303922034,7,2,1.5099238502209418,C,Third,man,False
1,3,male,38.284177652121954,0,1,16.474975269595173,S,Second,woman,False
0,3,male,23.332857891594628,6,2,5.282127462041377,S,Third,child,True
0,3,male,,6,6,5.995705316059932,S,Second,woman,False
0,2,female,38.58133315456201,5,6,32.57898058539774,C,Second,woman,False
1,1,male,,3,2,64.45182856391611,S,Second,child,False
0,3,female,,0,5,49.81166391886413,S,Third,man,True
1,2,male,46.511879736837045,6,0,13.537164084297132,S,Second,woman,False
1,3,male,41.712903820208496,4,3,68.67863548011319,S,First,woman,True
1,1,male,31.94243351806251,7,2,60.75395853793134,S,Third,woman,True
1,2,male,12.159528851718164,5,2,24.51181474183066,S,Second,man,False
0,3,male,,4,6,21.318894332877896,C,First,child,False
0,3,female,25.70104118421989,8,6,1.9879535024596284,Q,Third,woman,True
1,3,male,6.005184546295947,3,3,5.383516029490849,S,Second,man,False
0,3,female,35.67112382458279,7,0,2.9463356962161216,C,First,child,False
0,2,male,10.24847361267529,7,5,24.689908253551454,S,Third,child,True
0,1,male,32.30877820956578,8,5,37.256484371472816,S,Third,man,False
0,1,male,25.96615966182583,3,5,31.82466924163919,S,First,man,True
0,3,female,39.96499375335862,1,0,68.06794523298352,S,First,child,False
1,1,female,16.868733666339168,8,5,35.475015396798796,C,First,man,True
0,1,female,33.83221229334614,5,1,58.41788217884803,S,Third,woman,False
0,3,male,10.47223730031499,4,4,4.993474617713225,C,Third,child,False
1,3,male,41.137693724771694,4,0,6.214467079763292,S,Third,woman,True
1,1,male,28.390535272115073,1,0,82.70052418860604,S,Second,woman,False
0,1,female,36.941909365516025,1,6,14.455557915964132,S,Third,child,False
0,3,female,,8,1,8.072493262521947,S,First,child,False
1,2,male,36.98717985940473,8,3,80.229782781752,S,Third,child,True
0,1,male,34.28684754825192,3,5,115.83158820378296,S,Second,woman,False
0,3,male,35.091770497987085,2,0,33.51067276074845,C,First,woman,True
1,1,male,34.37687548219581,6,6,16.222021839206324,Q,First,woman,True
0,2,male,27.29150564093513,3,0,38.477645304403275,S,Second,man,True
0,3,female,47.37818908442387,0,2,0.5174456347399432,S,Second,child,True
0,3,male,27.81742819928015,0,4,5.158472878780907,S,Second,man,True
1,3,female,19.6516311945284,5,3,15.179900136327447,S,Third,man,True
0,2,male,29.17783329283486,8,2,58.90924086907555,S,Second,man,True
0,3,male,,7,4,11.974367134988736,S,Second,man,True
0,1,male,23.504050073368184,5,3,1.9672625818590586,S,Third,child,True
0,3,male,27.518547373348415,8,5,15.70793389958425,S,Second,child,False
1,3,male,24.68624231095796,0,4,9.110917510747012,S,Third,child,False
1,3,male,32.791559019276804,1,6,1.9038560828583833,S,First,man,True
0,1,female,57.24065947828858,2,3,16.79813272539903,S,First,child,True
0,3,female,,0,6,14.28807822312574,S,First,man,False
0,3,male,45.01220906203328,8,0,43.68069999671042,S,Third,man,True
0,3,female,22.94806787684469,2,3,2.1545902351363586,S,First,child,True
0,2,female,21.78177196092792,8,5,15.724891907046445,S,Third,woman,True
0,1,male,24.705507343498144,0,1,13.83391066383991,S,Second,woman,False
1,3,female,41.940447361764285,6,5,34.34579790616043,S,Third,man,True
0,3,female,1.0,6,5,72.22212546048077,S,Second,woman,False
0,1,male,,6,6,5.092079749416331,S,First,woman,True
0,3,male,,3,2,55.90858537700531,C,Second,woman,False
0,1,male,26.862706861118998,4,1,31.04968572829306,C,Second,woman,False
1,3,male,57.54821555000264,3,5,0.9793998810253715,S,Second,woman,False
0,3,female,36.267565020397186,0,4,48.05589253391371,S,Third,woman,False
0,3,male,20.72931979057327,3,5,25.460006966061442,C,Third,woman,False
1,2,female,7.9135010404491375,6,4,53.09970925525065,C,First,child,False
1,3,male,25.232159510869927,6,1,17.348627731559166,C,Second,woman,False
0,2,female,,6,3,36.13918280215408,S,Third,man,False
1,3,male,36.53450910585809,5,2,7.314447494075186,S,First,woman,True
0,3,female,32.2554885113835,0,5,7.029029072152042,C,Third,woman,False
0,3,female,34.480447049298235,1,0,13.725132665965775,S,Third,man,False
1,3,male,59.108473307130524,4,2,24.182539988011957,S,First,child,False
0,1,male,,7,2,41.60104276936276,S,First,man,True
0,3,male,27.306341090857305,2,3,36.267885815727254,S,Third,man,True
0,2,female,13.024779577155275,6,5,56.83577664959764,S,Second,woman,True
1,1,male,28.871620773898243,0,4,18.341981221211032,S,First,child,False
1,2,male,52.30583062330037,1,3,80.40287897549524,S,First,man,False
1,2,male,37.9621135876866,1,3,3.8147706883409187,S,First,child,False
0,1,male,28.397181361751187,0,0,6.840051010246382,C,First,man,False
1,2,male,33.52282348347847,1,4,37.98695061046651,S,Third,woman,False
0,2,male,13.04802106878974,5,6,9.659925223749456,S,Third,woman,True
1,3,male,24.48772803627855,0,6,5.9344992462391515,Q,Third,man,True
1,1,male,31.193536043985418,6,5,71.80461198423131,S,First,child,True
0,3,male,,1,4,2.3381374369649115,S,Third,man,True
1,3,male,8.571372578419364,0,0,157.2217598900415,S,Second,child,True
1,3,male,34.58672450928694,5,2,65.4977766350607,Q,Second,child,True
0,3,male,33.90875089519894,6,6,66.88796059184887,S,Third,child,True
0,3,male,24.7212831121811,8,4,32.69574326661435,S,Third,man,False
0,1,male,,6,1,8.405299564123684,S,Third,man,True
0,3,male,9.231118252847981,0,1,52.798050543138125,S,First,man,True
0,3,male,9.282861385459125,1,1,1.8249631321293456,S,Second,woman,True
0,3,female,31.885621672735326,7,2,28.794144369819527,S,First,man,True
0,3,male,20.651875327173705,5,1,19.084525962689117,S,First,man,False
0,1,female,,5,6,45.8014594809839,C,Second,woman,False
0,3,male,41.752869412446465,0,0,0.7938199933288116,S,Third,child,True
0,1,male,27.564980975727817,0,4,16.138336233662603,C,Second,woman,True
1,1,male,,1,0,21.395692931642007,S,Third,child,False
0,3,male,,5,4,5.454845480381271,S,Second,man,True
0,2,female,,6,6,17.676952686191196,S,Third,man,True
0,3,male,26.71427903947912,4,0,79.63782311183341,S,Third,woman,True
1,2,male,42.59623137600174,8,0,20.866053501479602,S,First,man,True
0,3,male,,5,3,9.571752893411272,S,Third,woman,True
0,3,female,33.41539273471178,5,5,25.080105001016978,S,Third,man,True
0,2,male,51.984254766757246,8,2,2.071476414341794,S,Second,child,True
0,3,male,21.236796390441597,1,0,11.501176039163326,S,Third,man,False
0,1,female,36.61259040660032,2,2,50.51628557001841,S,Third,man,False
0,2,male,,8,2,33.890432294764,S,Third,man,False
1,1,male,32.94324014742932,5,6,0.8011466685836263,S,Third,woman,False
1,3,female,20.408642275360023,6,6,27.841497313159426,S,Third,woman,False
1,1,female,20.066705850087995,7,5,8.086881244470959,S,Third,woman,True
1,2,female,40.413202152723755,2,3,122.7379252086782,S,First,man,False
0,2,male,,4,0,50.52395126492029,S,First,man,False
0,3,female,18.989442189002844,6,0,4.516395504471189,Q,Second,woman,True
0,2,male,13.52937583894484,0,6,16.071682632202393,S,First,man,True
1,3,male,12.068706001914052,3,5,22.218405295920533,S,Second,child,True
0,1,male,,3,1,6.6444662954132445,S,Second,woman,False
0,3,male,29.048768314533017,6,5,40.205723222392855,S,Third,child,True
0,1,female,63.043200199147805,3,2,60.76078993468831,S,Second,man,True
0,2,male,37.7776384429876,1,3,0.1476615181445628,S,Third,child,False
1,3,female,36.15331251967318,7,2,4.718141730796796,S,Second,child,True
1,3,female,34.287814836272574,3,0,10.999730565600895,S,First,woman,False
1,2,male,43.988097902763116,3,1,136.6886276401029,S,Third,man,False
0,3,female,16.475115409383026,3,0,17.1072233166188,S,First,child,True
0,1,male,60.24018351719029,1,4,6.158895406258823,S,Third,man,True
0,3,female,28.595776163434355,1,1,4.253286510878863,S,Third,child,True
0,3,male,20.152398709300645,0,3,76.43590445065341,S,Third,man,True
1,1,female,,6,3,54.846550692735946,S,First,man,False
1,2,male,45.29274426443117,8,2,31.869591957420322,Q,First,man,True
0,3,female,15.89423173903834,8,2,25.60362397570375,S,Third,man,False
1,1,male,37.936171214175,1,1,49.54201754485262,S,Second,child,True
0,1,male,19.969781793789316,8,0,12.637230413075699,S,Second,woman,True
1,3,female,,4,1,33.70117076191833,S,Second,man,False
1,2,male,23.14724613742957,3,4,44.05545355537175,Q,Third,child,True
1,3,male,40.689580530802886,4,5,28.287391799913685,S,Third,child,False
1,3,male,,8,1,6.098498246117341,C,Third,child,False
1,2,male,32.696625540484575,3,5,140.6433834220307,S,Third,woman,True
0,2,male,,0,1,55.01243608358474,Q,First,child,False
1,3,female,,7,6,22.260962128157825,S,First,woman,False
0,3,female,13.010669561437275,1,5,31.92768295298674,C,First,child,False
0,3,male,13.159563456775963,0,4,47.105290107086276,S,Third,woman,False
0,3,male,7.126855752860838,8,0,20.247794670171782,S,Second,man,False
0,2,male,42.54634071248975,1,4,44.341446607138785,S,First,woman,True
1,2,female,,5,1,48.922093481085874,S,Third,woman,True
0,3,female,32.2211270209274,3,2,20.27353875476175,S,Third,woman,False
0,1,male,46.49465110274237,0,3,6.862990949575782,C,Third,woman,True
1,3,male,12.91835980295826,3,0,30.053890414366034,S,First,child,True
0,3,female,16.818360545579992,5,6,26.666777229926875,Q,Third,woman,True
0,3,male,,5,0,22.90645631904449,C,First,child,True
1,2,male,,1,6,1.9921457937060971,C,Second,woman,False
0,1,male,,3,4,49.602703826943454,S,Third,child,True
0,2,male,17.051496976593455,5,2,25.532911158051988,S,First,woman,True
0,3,male,,1,1,18.58766152573432,C,Second,man,True
0,3,female,24.038577870905833,0,2,55.66496205292829,S,Third,man,True
1,3,female,58.11408991127742,3,4,7.235480262934055,S,First,woman,True
1,3,male,43.13047920897152,4,0,10.461548845173818,S,Third,woman,True
1,3,male,18.054661220145643,5,1,33.68947965810062,nan,Third,woman,True
1,3,female,24.577611875604095,6,4,16.314918492146592,S,Third,woman,True
1,2,male,,5,3,11.915286365016872,S,Second,man,False
0,2,female,76.29204088754787,3,3,9.697237112819037,S,Third,woman,False
0,2,female,8.857204984306023,1,3,21.945276846431618,S,Second,man,False
0,3,female,32.84955580566458,2,6,49.30344629641666,S,First,child,True
0,3,male,1.0,4,5,54.00214705524076,Q,Third,man,False
0,2,female,29.902875823117082,0,0,51.59102173982527,C,Second,woman,False
0,1,male,56.73846786672616,1,0,71.55884426248787,S,First,child,False
1,2,male,,5,2,1.7184576349388854,S,First,man,False
0,2,male,45.46376190060869,2,6,132.97364706462778,S,Second,man,True
1,3,male,29.074386836655147,1,6,18.345696557135387,C,First,woman,False
0,3,female,24.085017964443914,8,2,7.075511516272901,S,Third,child,True
0,3,male,26.476810974750457,3,3,115.74148183727536,S,Third,man,True
0,3,male,21.78336296747998,3,4,57.552385874373954,S,First,child,True
1,2,male,,7,3,87.62551258218048,C,First,woman,True
0,3,male,11.377278227457062,4,6,24.438516836226068,S,Third,woman,True
0,3,male,51.09521020529221,5,1,45.450976214448055,S,First,woman,False
0,1,female,,6,1,24.184155931011496,Q,Second,woman,True
1,3,male,34.112840350720546,2,3,25.586025256065792,C,First,woman,False
1,1,male,17.728554079842997,7,4,99.86497507527947,S,First,child,True
0,3,male,45.6378678318149,2,2,44.245549830842435,Q,First,child,False
0,3,male,26.170219109290386,6,3,27.6046496364185,S,Third,child,True
0,1,female,28.725542649990725,2,4,16.460084695871995,S,Third,woman,False
0,3,female,4.394327105856764,0,4,5.924115612798743,Q,First,child,False
0,3,female,35.54366695595456,4,1,4.05877747152911,S,Third,woman,False
0,1,female,55.36107986748345,7,2,11.754538048716284,Q,First,child,False
1,1,male,17.832913796001236,1,4,38.94892393692945,S,Third,woman,True
1,3,male,23.584791848165246,6,3,7.017109573458484,S,Third,child,True
0,3,male,14.063464584989774,3,5,4.651155231527711,C,Second,child,False
0,3,male,31.808270439365266,6,5,2.671249066989164,C,Second,man,False
0,3,male,30.896338770695593,0,4,61.789970221469034,S,First,man,False
1,3,male,39.87113542092257,1,6,9.108119704577463,S,First,man,True
0,1,female,,5,3,7.398837497439446,S,First,woman,False
1,3,male,18.624775353401585,7,6,16.358003833289413,S,First,child,True
1,2,female,,4,4,32.764531446472326,S,Third,child,True
1,3,female,25.40378450588538,1,1,29.123058855315005,S,Third,man,True
0,3,male,14.72553831672601,8,2,84.89347362400162,S,Third,man,False
0,1,male,,2,4,37.80533657117408,S,First,man,False
0,3,female,80.0,4,6,27.24055674780124,Q,Second,child,True
0,1,male,62.41238887608323,1,4,41.032217114313895,Q,Second,child,True
0,1,male,31.95757236874712,8,6,35.96410967640536,S,First,child,True
0,1,male,54.34400091215059,0,1,48.139469653105856,S,Second,child,False
0,2,female,,3,4,28.03774504913625,S,Second,woman,True
0,1,male,29.256063247819263,2,0,54.33690690236628,Q,Second,child,False
1,2,male,2.7059949731833157,2,0,76.00422411789974,Q,First,woman,True
0,3,female,16.55852207677999,1,3,39.345811784363065,S,Third,man,False
0,2,male,19.031010304189337,4,4,14.604975960194718,Q,Second,man,False
0,1,male,31.50526644331602,7,3,10.839636690284786,C,Third,child,True
0,1,male,30.195783488029868,7,6,33.45751364927098,S,First,woman,True
1,2,female,21.89480708051386,6,4,32.93803550653892,C,First,woman,False
1,1,female,21.75661520652619,6,1,0.7986350251898773,S,Third,woman,False
0,3,female,27.673856101488667,3,2,45.368342376186966,C,First,child,True
0,1,male,10.660236890448044,8,2,8.27862551441669,S,First,man,True
0,3,male,,0,3,1.8490225383170653,S,Second,woman,True
0,3,female,,4,0,5.487563529337797,C,First,child,True
1,3,male,12.514714936979757,4,5,35.28974547956175,S,Second,woman,False
0,3,male,25.37666949429638,0,5,24.431663677371795,S,First,man,True
0,3,male,18.312699710516885,4,6,61.938047255912466,S,Second,woman,True
0,2,female,47.295353488132676,2,4,3.7069646424244382,S,Second,man,False
1,3,male,,2,2,58.38088032496001,S,Second,woman,True
0,3,male,27.34636064440794,3,3,34.73078864659309,S,Third,man,False
1,2,male,,8,4,7.985399803715495,S,Third,child,True
0,3,female,37.79755643576881,6,1,44.063000368636615,C,Third,child,False
0,3,male,,2,3,44.62309077281447,C,First,woman,False
1,1,male,,7,0,3.771600450065127,S,Second,man,True
0,2,male,17.27354743247072,1,4,10.225220612727636,S,Second,child,False
1,3,female,27.967616581294948,5,4,33.61060438907658,S,Third,woman,True
0,3,male,22.491344703215205,4,6,15.805782517470014,C,Third,child,True
1,3,female,32.19897248000932,8,6,47.824016854174715,S,First,man,False
1,2,female,16.27357056212982,8,2,25.342752540503643,S,First,woman,True
1,3,male,22.051258618717384,3,2,64.18137637568411,C,Third,child,True
0,3,female,21.723764635087058,6,6,3.883681149888048,S,First,man,True
1,3,male,45.156279186592506,5,5,43.66914551422592,S,First,child,True
1,3,male,35.1520512299276,3,3,20.618921574089686,S,First,woman,True
0,3,male,35.16444190619932,6,5,24.17913753248277,S,Third,woman,True
0,3,male,,3,0,11.02657869373775,S,Third,woman,True
1,2,male,24.613950070690244,1,5,10.343131144868302,S,Third,child,True
1,3,male,37.85404043896692,8,2,6.9458022947906874,S,Second,woman,False
0,3,male,40.88407507311299,2,4,15.422887201630646,C,Third,woman,False
0,2,female,30.212054998803772,3,5,9.012496311502819,S,Third,man,True
1,1,male,45.983071236665424,5,3,6.942717519532934,S,Third,man,True
0,3,female,47.83817038521258,7,3,107.73882138526724,C,Second,woman,True
1,3,female,6.694227448555196,2,0,19.57384152227383,S,First,child,False
0,3,female,36.0253043869627,3,2,37.40826277885223,S,Third,child,False
1,3,male,29.403573001125487,3,2,15.465173157270046,S,Third,child,True
1,3,male,35.436043395555394,5,5,27.83518715111449,S,Third,man,False
1,2,female,45.62367139237439,7,6,22.821238127630398,S,Third,woman,False
0,3,female,,0,0,31.30132804373948,S,Second,child,True
1,3,male,7.316162566084131,1,4,42.331047861547,S,First,child,True
0,3,male,45.48668061991464,7,3,35.98233983994584,S,First,woman,False
0,3,male,16.021214970974224,8,0,47.38533049085572,C,Second,child,False
0,1,female,20.392926805105503,6,1,5.219959743331428,S,Second,child,False
0,1,male,32.864692507875105,3,0,3.258761383237219,C,Second,woman,False
1,2,male,20.39457450374102,6,3,13.65702713434571,S,Second,man,True
0,3,female,7.709051203581634,1,4,21.695776641464377,Q,Second,man,True
1,1,male,30.478656743820157,0,6,8.386015782065492,S,Second,man,False
0,2,female,19.05921477453397,3,1,48.96523070379263,S,Third,child,False
0,1,female,,0,1,41.95557361237166,S,Second,man,True
0,2,female,22.914928214898833,4,5,80.80127984745778,Q,Third,child,False
0,2,male,20.361754057908826,3,1,43.08115669207778,S,First,man,False
0,3,male,27.059992452457067,3,6,3.7399375634321435,S,First,man,False
1,3,male,44.73014867574139,6,3,36.08910676914955,Q,First,man,True
0,2,female,42.71065714292758,1,5,17.52726527149141,S,Third,woman,False
1,1,male,,6,5,9.919293674309536,C,First,child,False
1,3,male,69.19590708721684,1,0,30.398980487019415,S,Second,child,False
0,3,male,25.4391314558096,6,5,11.873685759698786,S,Third,child,False
0,1,male,13.866179794566989,0,5,24.97592511536476,S,First,child,True
0,3,male,42.4352478606829,6,2,28.312960128715442,S,First,man,True
0,1,female,,4,5,24.850295771288387,S,Second,man,True
0,3,male,60.152073109755094,8,3,0.35455302979930636,Q,First,man,False
0,2,female,41.86371697674147,5,3,14.151873901014817,S,Third,woman,False
0,2,female,27.217922151677246,3,5,51.574097291783595,S,Second,child,True
